"id","userid","creditAmount","reason","datecreated","sessionId","stripeEventId","amountPaid","amountDiscount"
16,5,100,Credit Purchase,2023-12-09 17:48:07.539,cs_test_b1XJgcRVhlDt4oV6qeNttMw1uUkzfhWU8nRRbApiNs2e1bhXaHpWmdxF8q,evt_1OLUdBFkSW4xPENMgJJaB9fF,90,10
17,16,1.01,Email Verification,2023-12-10 13:00:23.691,,,0,0
18,6,1.01,Email Verification,2023-12-10 18:26:30.486,,,0,0
20,15,1.01,Email Verification,2023-12-10 18:26:30.486,,,0,0
21,8,1.01,Email Verification,2023-12-10 18:26:30.486,,,0,0
22,9,1.01,Email Verification,2023-12-10 18:26:30.486,,,0,0
23,5,1.01,Email Verification,2023-12-10 18:26:30.486,,,0,0
19,10,0.01,Email Verification,2023-12-10 18:26:30.486,,,0,0
24,5,-0.20,Verified Phone Number,2023-12-11 18:36:25.280,,,0.20,0
25,5,5,Credit Purchase,2023-12-15 03:14:24.025,cs_test_b1rcxKB0lhGXe0RkJe5x6Z0GHVGlyyKH3BvqK3aak7PvD5Z7UPN9sbijL3,evt_1ONRquFkSW4xPENMK8nKPeyj,5,0
26,10,5,Credit Purchase,2023-12-16 12:13:04.725,cs_test_b105uAIOfmyvVxVSdJOwlOITZY41Etc4pjiDhHbW6XBDB913ua9oUIYKpi,evt_1ONwjlFkSW4xPENMxQ6lxBxd,5,0
27,5,-0.20,Verified Phone Number,2023-12-16 14:20:54.000,Phone Verification,,0.20,0
28,20,1.01,Email Verification,2024-02-01 14:43:49.993,,,0,
29,22,1.01,Email Verification,2024-02-01 14:52:56.725,,,0,
